Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],GDP (constant 2010 US$) [NY.GDP.MKTP.KD],Imports of goods and services (constant 2010 US$) [NE.IMP.GNFS.KD],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],Average precipitation in depth (mm per year) [AG.LND.PRCP.MM]
2000,YR2000,Brazil,BRA,174790340,1.42416743408748,1538706023647.11,122266133924.511,66774569991.801,..
2000,YR2000,British Virgin Islands,VGB,20311,1.41311819237375,..,..,..,..
2000,YR2000,Brunei Darussalam,BRN,333165,2.10965170023154,11971150348.3682,2582161936.19362,4042036716.93736,..
2000,YR2000,Bulgaria,BGR,8170172,-0.493896416633318,32555406323.5435,11643472164.6942,4797489756.51109,..
2000,YR2000,Burkina Faso,BFA,11607942,2.84188512544412,5681569470.7925,1328285703.025,261515857.363254,..
2000,YR2000,Burundi,BDI,6378871,1.76735652215339,1462076190.64843,109163121.400371,55005758.5302566,..
2000,YR2000,Cabo Verde,CPV,428188,1.82320283994036,948465609.657377,..,145630289.312716,..
2000,YR2000,Cambodia,KHM,12155239,2.23605013353484,5241366891.85216,1996238812.01904,1821397244.68085,..
2000,YR2000,Cameroon,CMR,15513945,2.62109932792552,17787859759.2945,5074744273.46774,2612567706.81833,..
2000,YR2000,Canada,CAN,30685730,0.931281553452429,1207140927611,380975255609.192,329258635782.102,..
2000,YR2000,Cayman Islands,CYM,42303,4.55332935477277,..,..,..,..
2000,YR2000,Central African Republic,CAF,3640427,2.28984584302171,1539405182.58733,..,186303954.218701,..
2000,YR2000,Chad,TCD,8355654,3.68271858202912,3862436487.10548,..,233937659.160846,..
2000,YR2000,Channel Islands,CHI,148443,0.600005854127661,..,..,..,..
2000,YR2000,Chile,CHL,15342353,1.17721142767665,144524703666.117,28736366764.0353,23772266321.3405,..
2000,YR2000,China,CHN,1262645000,0.787956592953992,2232179118798.37,..,253092089737,..
2000,YR2000,Colombia,COL,39629965,1.60375190216718,192715607785.794,22952927667.0622,15897088339.1542,..
2000,YR2000,Comoros,COM,542357,2.52234002212069,702926141.324143,205539166.941222,30950452.4961024,..
2000,YR2000,"Congo, Dem. Rep.",COD,47105826,2.55043633649335,13660045126.8279,2432037317.08613,2185507246.37681,..
2000,YR2000,"Congo, Rep.",COG,3127411,2.88635837234346,8189693046.70462,3561734843.3832,2585496314.97565,..
2000,YR2000,Costa Rica,CRI,3962372,1.96091760370543,24457378061.9157,8597274373.29518,6445399583.37389,..
2000,YR2000,Cote d'Ivoire,CIV,16454668,2.59867406718116,22322169524.8493,..,4370512052.15679,..
2000,YR2000,Croatia,HRV,4468302,-0.986434858645568,46678391315.0396,15038525897.838,7638063884.81586,..
2000,YR2000,Cuba,CUB,11126430,0.376028645193923,38729221263.7745,5433551668.02278,4318900000,..
2000,YR2000,Curacao,CUW,133860,-4.07538613162288,..,..,..,..
2000,YR2000,Cyprus,CYP,943290,1.8449855080021,18521230279.7295,11479689778.6027,6986380772.8558,..
2000,YR2000,Czech Republic,CZE,10255063,-0.280414108078884,152688350008.684,54521528976.1976,29733777253.8249,..
2000,YR2000,Denmark,DNK,5339616,0.334233618829261,298220921608.043,97462129598.3016,73620705669.8544,..
2000,YR2000,Djibouti,DJI,717584,2.48453938320589,..,..,..,..
2000,YR2000,Dominica,DMA,69650,-0.26526165319198,388564008.271903,..,144511111.111111,..
2000,YR2000,Dominican Republic,DOM,8471321,1.52296747260303,34321549050.0683,14798839379.4588,8627787837.02779,..
2000,YR2000,Ecuador,ECU,12681123,1.90274208191223,46459371078.3637,8899748798.31896,5888259129.56478,..
2000,YR2000,"Egypt, Arab Rep.",EGY,68831561,1.93038262324663,136412500718.856,24762626329.9857,16174959635.99,..
2000,YR2000,El Salvador,SLV,5887936,0.734526453073739,15695372315.9154,7606671779.80487,3161574400,..
2000,YR2000,Equatorial Guinea,GNQ,606181,4.11034407211008,3372418920.23967,..,..,..
2000,YR2000,Eritrea,ERI,2292416,2.42895710908588,1456092118.79029,903246832.16562,68310441.5584416,..
2000,YR2000,Estonia,EST,1396985,0.483707161729931,14057073774.981,6330064320.10715,3504490924.16843,..
2000,YR2000,Eswatini,SWZ,1005435,1.13297100018177,3134761673.28704,2019590029.09955,1238728118.96596,..
2000,YR2000,Ethiopia,ETH,66224804,2.88267254878244,13074915711.7851,..,..,..
2000,YR2000,Faroe Islands,FRO,46735,0.641832815875748,..,..,527606982.469597,..
2000,YR2000,Fiji,FJI,811006,0.581584997823587,2689258989.02238,..,1097340975.28892,..
2000,YR2000,Finland,FIN,5176209,0.2076065154133,209135417846.354,63983385872.3163,52835820895.5224,..
2000,YR2000,France,FRA,60912500,0.684929253818552,2333523930837.68,558867803013.08,389534733738.714,..
2000,YR2000,French Polynesia,PYF,240686,1.8725371891673,..,..,168811807.940836,..
2000,YR2000,Gabon,GAB,1228360,2.41487017916787,12492736210.5521,2310161285.64523,3498457743.60748,..
2000,YR2000,"Gambia, The",GMB,1317703,3.12723472811984,1097226959.22541,..,201981794.863774,..
2000,YR2000,Georgia,GEO,4077131,-1.9446291567975,6660152862.91627,..,703050128.463696,..
2000,YR2000,Germany,DEU,82211508,0.135431600393084,3118648486219.2,868192968224.415,599415883545.237,..
2000,YR2000,Ghana,GHA,19278856,2.44949038579631,18368957715.4293,..,2431828408.88236,..
2000,YR2000,Gibraltar,GIB,31077,1.77909442012741,..,..,..,..
2000,YR2000,Greece,GRC,10805808,0.409041838238246,251509981372.056,81771760718.7439,30865641238.2532,..
2000,YR2000,Greenland,GRL,56200,0.178094437099469,1809246741.70089,..,..,..
2000,YR2000,Grenada,GRD,102833,0.390714939354079,646274551.793201,..,235727407.407407,..
2000,YR2000,Guam,GUM,155329,0.889808704567755,..,..,..,..
2000,YR2000,Guatemala,GTM,11589761,2.43394364463754,29764712426.8078,11941271864.751,3895385279.26628,..
2000,YR2000,Guinea,GIN,8240730,2.28278217590536,5050049664.66574,..,734578521.298093,..
2000,YR2000,Guinea-Bissau,GNB,1201301,2.03250141765766,661143318.756818,..,80534492.5104951,..
2000,YR2000,Guyana,GUY,746715,-0.395485913995215,2710796187.43185,..,684731124.266842,..
2000,YR2000,Haiti,HTI,8463806,1.72500471849999,9736418664.68205,2601362205.44796,461401566.656813,..
2000,YR2000,Honduras,HND,6574509,2.73471634651249,10569704556.9194,7051024346.7152,3833918331.19093,..
2000,YR2000,"Hong Kong SAR, China",HKG,6665000,0.881594075853745,153401113670.387,228189239423.712,216355888694.938,..
2000,YR2000,Hungary,HUN,10210971,-0.259764908288633,107011783045.671,47993338970.7911,31569229766.0494,..
2000,YR2000,Iceland,ISL,281205,1.36919283329812,10535472401.9616,5876151197.66061,2899576892.74448,..
2000,YR2000,India,IND,1056575549,1.76812541234731,873357417209.469,114116106478.556,60878396865.5263,..
2000,YR2000,Indonesia,IDN,211513823,1.37990952810109,453413616927.798,86127068980.9583,67621169165.827,..
2000,YR2000,"Iran, Islamic Rep.",IRN,65623405,1.26132323415856,316062584672.061,44845022398.2341,23526115003.4898,..
2000,YR2000,Iraq,IRQ,23497585,3.00465917329588,101556649072.478,..,..,..
2000,YR2000,Ireland,IRL,3805174,1.33304266586712,167812388307.177,125276974489.799,94350575824.5808,..
2000,YR2000,Isle of Man,IMN,76941,1.22923962858123,3493060538.18386,..,..,..
2000,YR2000,Israel,ISR,6289000,2.64233191305756,174464879024.344,61311710895.3134,47072572535.7467,..
2000,YR2000,Italy,ITA,56942108,0.045303631138613,2068664016522.73,480854722024.481,293137645107.794,..
2000,YR2000,Jamaica,JAM,2654701,0.833159109994745,12367092203.9155,..,3485422469.82358,..
2000,YR2000,Japan,JPN,126843000,0.167275578113187,5348935478913.05,634824158097.259,519273793561.019,..
2000,YR2000,Jordan,JOR,5122493,1.78710136274407,14787230565.9528,12313652600.748,3538928067.70099,..
2000,YR2000,Kazakhstan,KAZ,14883626,-0.300549816049332,66851172843.1113,33593380787.322,10353710600.3753,..
2000,YR2000,Kenya,KEN,31964557,2.74598446736801,26198643973.2382,5684009634.50438,2742778003.4263,..
2000,YR2000,Kiribati,KIR,84396,1.70168056299824,145368938.26335,..,7960111.31725417,..
2000,YR2000,"Korea, Dem. People’s Rep.",PRK,22929075,0.865491997541341,..,..,..,..
2000,YR2000,"Korea, Rep.",KOR,47008111,0.836180864297766,724596728892.538,241980633200.112,195550063662.729,..
2000,YR2000,Kosovo,XKX,1700000,-3.58212764518173,3146802261.55122,..,..,..
2000,YR2000,Kuwait,KWT,2045123,4.67899391929278,73763782274.9477,..,21297262059.9739,..
2000,YR2000,Kyrgyz Republic,KGZ,4898400,1.19112592398474,3205081828.7435,2039064706.45526,573185350.355847,..
2000,YR2000,Lao PDR,LAO,5323700,1.67356145959765,3582186704.57195,1069318660.24328,530820000,..
2000,YR2000,Latvia,LVA,2367550,-0.963935407092365,16489794024.1358,7128101954.60814,2927653534.18308,..
2000,YR2000,Lebanon,LBN,3842778,2.50356134154879,21967850866.9443,10905204721.6558,2447097844.11277,..
2000,YR2000,Lesotho,LSO,2032804,0.645178652252755,1646313414.12689,1138748321.47057,..,..
2000,YR2000,Liberia,LBR,2848456,5.36319924383408,1749841725.7593,1080095348.44193,274229800,..
2000,YR2000,Libya,LBY,5357891,1.54162185241641,48026344512.6129,..,12077313549.3948,..
2000,YR2000,Liechtenstein,LIE,33184,1.2584885517601,..,..,..,..
2000,YR2000,Lithuania,LTU,3499536,-0.703385440488978,24267509229.8628,9385390184.38106,4447864479.93094,..
2000,YR2000,Luxembourg,LUX,436300,1.34408299573143,40777874684.7011,44605561102.3323,31573110374.0556,..
2000,YR2000,"Macao SAR, China",MAC,427782,2.2216439076662,9639996169.45876,4529302132.3755,6046798489.88899,..
2000,YR2000,Madagascar,MDG,15766806,3.11970869595064,7733390473.33836,1891387491.58733,885096695.506053,..
2000,YR2000,Malawi,MWI,11148758,2.67647598836823,4376161603.65002,..,446401353.289511,..
2000,YR2000,Malaysia,MYS,23194257,2.3246169412232,162523121435.76,115317173172.395,112369210526.316,..
2000,YR2000,Maldives,MDV,279398,2.12369513190939,1619839033.86103,..,..,..
2000,YR2000,Mali,MLI,10946445,2.81183603168724,6075764625.02986,1715433330.28197,664046686.666396,..
2000,YR2000,Malta,MLT,390087,0.645267230900854,7110351988.86324,8504764516.5211,4893557071.64592,..
2000,YR2000,Marshall Islands,MHL,50753,0.652330928722572,136848628.93654,..,33100500,..
2000,YR2000,Mauritania,MRT,2630219,2.64409051569092,3876089574.69091,953198619.708034,454082460.772976,..
2000,YR2000,Mauritius,MUS,1186873,0.982676166064297,6721484096.21563,4967983217.79826,2849014842.13093,..
2000,YR2000,Mexico,MEX,98899845,1.4410874716918,915216005402.792,245862651705.153,179855862769.153,..
2000,YR2000,"Micronesia, Fed. Sts.",FSM,107402,-0.352258674621524,290797573.822835,..,41921500,..
2000,YR2000,Moldova,MDA,2923783,-0.203364952540417,4229636600.29266,1771734706.08684,639062444.70539,..
2000,YR2000,Monaco,MCO,32147,0.94701525062047,4462968314.99403,..,..,..
2000,YR2000,Mongolia,MNG,2397418,0.887923090986768,3837047132.18431,..,613886974.292311,..
2000,YR2000,Montenegro,MNE,604950,-0.0279740186992493,2997339530.77019,..,362369077.306733,..
2000,YR2000,Morocco,MAR,28793679,1.18141040978911,57519650790.1246,20566653244.0281,10408859646.151,..
2000,YR2000,Mozambique,MOZ,17711927,2.67630952899375,5131979555.27292,1701005801.33895,633309991.331302,..
2000,YR2000,Myanmar,MMR,46719701,1.15958132320025,15984737489.9272,..,47983870.8270788,..
2000,YR2000,Namibia,NAM,1794571,1.72619737442919,7190976908.6376,2975270197.44482,1597772846.47973,..
2000,YR2000,Nauru,NRU,10337,-1.07765884656261,..,..,..,..
2000,YR2000,Nepal,NPL,23941110,1.81727336822346,10899840166.6306,..,1279281887.93977,..
2000,YR2000,Netherlands,NLD,15925513,0.714770362784392,739504613038.126,385360686008.092,274990786806.707,..
2000,YR2000,New Caledonia,NCL,213230,1.90137437804069,..,..,..,..
2000,YR2000,New Zealand,NZL,3857700,0.587564086381346,113240907547.727,25587546960.0867,18810433407.9831,..
2000,YR2000,Nicaragua,NIC,5069302,1.55588306602018,6560798897.43099,3265411369.88572,1026990189.1253,..
2000,YR2000,Niger,NER,11331557,3.60876884966522,4863999083.92763,1092588907.01385,320662359.12628,..
2000,YR2000,Nigeria,NGA,122283850,2.50384696907061,168313749255.077,27489086205.9152,25017710170.2798,..
2000,YR2000,North Macedonia,MKD,2034819,0.513647493765249,7017710078.96866,3477000112.36487,1243035324.10779,..
2000,YR2000,Northern Mariana Islands,MNP,57453,3.21367485076485,..,..,..,..
2000,YR2000,Norway,NOR,4490967,0.649044821192665,366702477304.826,82900954310.7451,78315344588.6069,..
2000,YR2000,Oman,OMN,2267973,0.577908104639718,42407693363.2788,8214409852.69103,11770788616.3849,..
2000,YR2000,Pakistan,PAK,142343578,2.64739868789172,116753852490.085,21707249278.4233,9940178787.14665,..
2000,YR2000,Palau,PLW,19105,1.73706223501409,178469220.718499,..,63462200,..
2000,YR2000,Panama,PAN,3030328,1.97062991296688,16647538295.8549,11760632156.3691,7629852800,..
2000,YR2000,Papua New Guinea,PNG,5847586,2.27315002868653,9608075730.6553,..,2330364836.5162,..
2000,YR2000,Paraguay,PRY,5323201,2.02770822437729,19005701526.3586,4823521012.20064,3837259043.41216,..
2000,YR2000,Peru,PER,26459944,1.45287598200945,85798462918.4744,14463812705.3445,8676752915.55632,..
2000,YR2000,Philippines,PHL,77991755,2.15904319962954,130146160491.487,42638458537.3403,36266221660.029,..
2000,YR2000,Poland,POL,38258629,-1.04433539837844,326937286505.489,110131827678.838,46823588964.819,..
2000,YR2000,Portugal,PRT,10289898,0.702859953319024,221207086651.451,71783036700.2546,33369086972.5447,..
2000,YR2000,Puerto Rico,PRI,3810605,0.276558688867414,92068670407.3471,..,38465700000,..
2000,YR2000,Qatar,QAT,592468,3.78029753278811,36044298341.0931,..,11949450549.4505,..
2000,YR2000,Romania,ROU,22442971,-0.129440039806255,109952094351.041,15094894095.0606,8042562992.30734,..
2000,YR2000,Russian Federation,RUS,146596869,-0.420614990249978,951570864960.202,91329320374.1672,114429434767.153,..
2000,YR2000,Rwanda,RWA,7933681,5.60495742370345,2785993668.72083,819131420.657639,112685214.790393,..
2000,YR2000,Samoa,WSM,174454,0.485545237558526,498174444.546682,..,..,..
2000,YR2000,San Marino,SMR,27462,1.16103635421456,1702450124.85211,..,..,..
2000,YR2000,Sao Tome and Principe,STP,142262,1.6320905396766,..,..,..,..
2000,YR2000,Saudi Arabia,SAU,20663843,2.29738309080615,379223464035.035,59762902935.8717,82259466666.6667,..
2000,YR2000,Senegal,SEN,9797734,2.36514802226824,10926076017.6715,3704056625.07923,1654350828.25088,..
2000,YR2000,Serbia,SRB,7516346,-0.319524801286905,26442039540.6366,4614476877.04681,603908121.31229,..
2000,YR2000,Seychelles,SYC,81131,0.892658566766174,794294457.97491,..,464069445.902902,..
2000,YR2000,Sierra Leone,SLE,4584571,2.70147275583827,1385751986.4426,253780628.007152,115314755.508819,..
2000,YR2000,Singapore,SGP,4027887,1.73204223254257,136346984801.619,202304386926.122,180957134570.766,..
2000,YR2000,Sint Maarten (Dutch part),SXM,30519,-1.83437768672749,..,..,..,..
2000,YR2000,Slovak Republic,SVK,5388720,-0.135376487794425,55615077762.2684,28496107317.9852,15520010134.5126,..
2000,YR2000,Slovenia,SVN,1988925,0.29607496005045,36841188520.1554,17921657066.3955,10172240637.1072,..
2000,YR2000,Solomon Islands,SLB,412660,2.72023021449767,611464618.713196,..,104816365.029771,..
2000,YR2000,Somalia,SOM,8872254,3.65765151618095,..,..,..,..
2000,YR2000,South Africa,ZAF,44967708,1.40902882442672,267001436052.865,57939818608.9712,37034201374.3376,..
2000,YR2000,South Sudan,SSD,6199394,4.37729090737291,..,..,..,..
2000,YR2000,Spain,ESP,40567864,0.447137014535835,1152484609387.48,298599830831.877,170488299244.518,..
2000,YR2000,Sri Lanka,LKA,18777601,0.610655198132411,34271798040.9412,10328822537.7475,6371581612.77756,..
2000,YR2000,St. Kitts and Nevis,KNA,44083,1.05126103553775,618504713.584233,..,..,..
2000,YR2000,St. Lucia,LCA,156729,1.11253409117809,1229867083.71229,..,..,..
2000,YR2000,St. Martin (French part),MAF,28935,2.87131257121432,..,..,..,..
2000,YR2000,St. Vincent and the Grenadines,VCT,107784,0.0241252286107574,512303508.129133,..,179414814.814815,..
2000,YR2000,Sudan,SDN,27275015,2.4063370071213,30179232201.9534,5574946155.38821,1959294026.13566,..
2000,YR2000,Suriname,SUR,470944,1.18849148229012,2696863363.74027,..,..,..
2000,YR2000,Sweden,SWE,8872109,0.160575484575313,398727398165.564,148670051878.487,113698565846.631,..
2000,YR2000,Switzerland,CHE,7184250,0.561954617400164,487149098846.636,231488735087.005,141789620440.549,..
2000,YR2000,Syrian Arab Republic,SYR,16410848,2.44801766046869,..,..,6839334310.23655,..
2000,YR2000,Tajikistan,TJK,6216341,1.56747671573663,2582669253.28037,1614808741.58158,746520252.372008,..
2000,YR2000,Tanzania,TZA,33499180,2.46891804226977,16992936425.2419,2791126552.48339,1445821022.26551,..
2000,YR2000,Thailand,THA,62952642,1.04442412963011,217712440842.023,106383091591.891,81953041249.7071,..
2000,YR2000,Timor-Leste,TLS,884366,1.27796757443108,566700965.958672,884883229.496211,38963800,..
2000,YR2000,Togo,TGO,4924402,2.96685799711587,2751022117.50891,1381442854.26667,419928303.793258,..
2000,YR2000,Tonga,TON,97973,0.502418493091324,336741490.053633,..,29229150.1433714,..
2000,YR2000,Trinidad and Tobago,TTO,1267153,0.254436375305513,12400244897.6867,..,..,..
2000,YR2000,Tunisia,TUN,9708350,0.980882557197668,29142311722.7889,11342689674.4446,8491938425.62194,..
2000,YR2000,Turkey,TUR,63240194,1.51809700314105,523518747081.092,110330112806.381,54534716875.5857,..
2000,YR2000,Turkmenistan,TKM,4516133,1.11327153418058,10753701529.1433,..,1604432627.78235,..
2000,YR2000,Turks and Caicos Islands,TCA,20164,5.60446429108573,..,..,..,..
2000,YR2000,Tuvalu,TUV,9394,0.5122743326569,29009173.7113651,..,..,..
2000,YR2000,Uganda,UGA,23650172,2.99474457522261,13036912541.7623,2600133272.39539,659668069.160693,..
2000,YR2000,Ukraine,UKR,49176500,-1.00657902702927,89401541680.6853,42968353597.6193,19521221884.9056,..
2000,YR2000,United Arab Emirates,ARE,3134062,5.51042198628297,198234194635.807,..,..,..
2000,YR2000,United Kingdom,GBR,58892514,0.357300887421605,2100867468377.33,555289967329.714,417751550915.418,..
2000,YR2000,United States,USA,282162411,1.11276899679534,12620268392851,1790995370059.53,1096255000000,..
2000,YR2000,Uruguay,URY,3319736,0.353785696998478,29883433692.2766,6218986133.45079,3811049833.14111,..
2000,YR2000,Uzbekistan,UZB,24650400,1.38374682096563,24133037752.2301,2433977463.51753,3393714865.37893,..
2000,YR2000,Vanuatu,VUT,184972,2.02444133410339,525554159.349336,..,106572568.370564,..
2000,YR2000,"Venezuela, RB",VEN,24192446,1.88857440715179,288959554742.817,33906004341.3734,34842594117.6471,..
2000,YR2000,Vietnam,VNM,79910412,1.10043444707364,61146300622.5134,24486229169.7182,16808688578.3564,..
2000,YR2000,Virgin Islands (U.S.),VIR,108642,0.0395873712251061,..,..,..,..
2000,YR2000,West Bank and Gaza,PSE,2922153,2.55523569844846,6218556740.20571,4483338454.0998,885000000,..
2000,YR2000,"Yemen, Rep.",YEM,17409072,2.8427189985995,20345854642.0114,..,..,..
2000,YR2000,Zambia,ZMB,10415944,2.67943870312466,9881983406.64151,937879406.307978,861422399.382795,..
2000,YR2000,Zimbabwe,ZWE,11881477,0.495761344074177,17216768309.2624,5744794122.83161,2552871400,..
2000,YR2000,Arab World,ARB,282344154,2.15283997088547,1365443237250.92,..,290224141454.024,..
2000,YR2000,Caribbean small states,CSS,6513489,0.69583591443984,49160891097.9447,..,..,..
2000,YR2000,Central Europe and the Baltics,CEB,108447824,-0.562187468913606,923093954860.872,323684908626.896,165176972328.23,..
2000,YR2000,Early-demographic dividend,EAR,2472852818,1.82189565963333,5666086490899.53,1176102254564.04,822675157677.2,..
2000,YR2000,East Asia & Pacific,EAS,2047640119,0.936082736555505,10969359615529,2906689485312.89,1975681805531.56,..
2000,YR2000,East Asia & Pacific (excluding high income),EAP,1816455805,0.990541105867976,3308011907427.31,..,575966363064.306,..
2000,YR2000,East Asia & Pacific (IDA & IBRD countries),TEA,1793498351,0.992078164532487,3301411355154.21,..,574929732568.599,..
2000,YR2000,Euro area,EMU,321310791,0.328450827305346,11218498716648.7,3478639396573.82,2275679388451.77,..
2000,YR2000,Europe & Central Asia,ECS,861278548,0.111507795260522,17464554616248.5,5191108529153.84,3455999757113.42,..
2000,YR2000,Europe & Central Asia (excluding high income),ECA,369143668,0.0325816706805711,1818995904866.45,341050957182.708,227268062978.241,..
2000,YR2000,Europe & Central Asia (IDA & IBRD countries),TEC,434313570,-0.0816190105696819,2302563677038.02,481954680903.526,289768676765.608,..
2000,YR2000,European Union,EUU,429328624,0.119662420872473,12691270347971.8,3979195165834.03,2591603372586.58,..
2000,YR2000,Fragile and conflict affected situations,FCS,504450718,2.44215037353102,879156621983.927,178079443294.353,119819969845.208,..
2000,YR2000,Heavily indebted poor countries (HIPC),HPC,471680794,2.7923953508469,293959826751.826,83433817460.0094,36086257128.4065,..
2000,YR2000,High income,HIC,1101479766,0.608660328789213,38400093971794.1,9062587545092.88,6393023111011.2,..
2000,YR2000,IBRD only,IBD,3987195305,1.18604281701123,11348498989509.2,2525722648288.7,1509113532723.11,..
2000,YR2000,IDA & IBRD total,IBT,5065364309,1.45524579146168,12180425555509.1,2708791323516.15,1615259331647.65,..
2000,YR2000,IDA blend,IDB,360173360,2.46172487750459,395183115033.092,77416241170.8666,52943412701.1156,..
2000,YR2000,IDA only,IDX,717995644,2.46417591640511,436765524059.284,105654310605.444,52902763200.8145,..
2000,YR2000,IDA total,IDA,1078169004,2.46335710880061,834518925408.97,183504243755.893,105878723310.132,..
2000,YR2000,Late-demographic dividend,LTE,2045125923,0.764301954080324,7094244145852.38,..,1081667605990.12,..
2000,YR2000,Latin America & Caribbean,LCN,520903450,1.46809807927499,3920965918104.07,671721881802.403,479908482469.514,..
2000,YR2000,Latin America & Caribbean (excluding high income),LAC,492968023,1.49595261519009,3594913816555.68,571374896350.035,386329855052.844,..
2000,YR2000,Latin America & the Caribbean (IDA & IBRD countries),TLA,504921262,1.50360248435616,3761256695346.56,617767314564.741,423284801696.317,..
2000,YR2000,Least developed countries: UN classification,LDC,657215864,2.52229040836865,365555306321.384,72485985581.9819,40091046291.6267,..
2000,YR2000,Low & middle income,LMY,5012852771,1.48141400576711,11537782632034.1,2524548485911.58,1516424295932.73,..
2000,YR2000,Low income,LIC,401768207,2.77750061157835,220853917387.382,..,..,..
2000,YR2000,Lower middle income,LMC,2155781287,1.84178816178265,2211549386840.53,459515634137.948,294235840474.125,..
2000,YR2000,Middle East & North Africa,MEA,315326801,1.90347790665233,1828745103893.86,..,363765454321.569,..
2000,YR2000,Middle East & North Africa (excluding high income),MNA,279279634,1.79682938764884,902307512031.021,198436233470.684,122039622918.926,..
2000,YR2000,Middle East & North Africa (IDA & IBRD countries),TMN,276357481,1.78852720651174,896081442755.922,193273213039.837,121074381925.759,..
2000,YR2000,Middle income,MIC,4611084564,1.37003123156683,11318601755395.2,2467697494266.47,1492219973585.26,..
2000,YR2000,North America,NAC,312909974,1.1009288191018,13833336719749.2,2173168864373.03,1427586113686.54,..
2000,YR2000,Not classified,INX,..,..,..,..,..,..
2000,YR2000,OECD members,OED,1196874047,0.714595860491201,38255466846584.2,8452851980323.26,5760978949017.51,..
2000,YR2000,Other small states,OSS,20917092,1.8352067546966,169078852255.982,91869065391.8097,61016432126.4157,..
2000,YR2000,Pacific island small states,PSS,1962452,1.15773673293498,5477566595.29886,..,1592404423.6988,..
2000,YR2000,Post-demographic dividend,PST,1020504904,0.500617118094794,36272006495095.4,8241530264757.07,5730882183927.51,..
2000,YR2000,Pre-demographic dividend,PRE,550660001,2.77852750395087,560637472938.649,108623260934.83,81395262453.1889,..
2000,YR2000,Small states,SST,29393033,1.53521711526795,223764055997.799,..,79247079032.2838,..
2000,YR2000,South Asia,SAS,1390946064,1.89573979940431,1111470512485.03,158494939683.389,85366699347.5612,..
2000,YR2000,South Asia (IDA & IBRD),TSA,1390946064,1.89573979940431,1111470512485.03,158494939683.389,85366699347.5612,..
2000,YR2000,Sub-Saharan Africa,SSF,665327581,2.65051448502105,812255608724.107,182818096800.026,123877413296.054,..
2000,YR2000,Sub-Saharan Africa (excluding high income),SSA,664059577,2.65375380164126,804729898087.489,177099102163.482,120478492793.291,..
